text,sentiment
saya ingin lebih giat dalam belajar,motivasi belajar
saya masih kurang siap ujian,teknik belajar
saya ingin  mengatur jadwal agar tidak terlalu padat,manajemen waktu
saya merasa belum sepenuhnya siap untuk ujian,teknik belajar
saya masih merasa malas untuk belajar,motivasi belajar
saya sering kesulitan fokus saat belajar,teknik belajar
jadwal kuliah saya sangat padat,manajemen waktu
saya butuh teknik belajar yang efektif,teknik belajar
saya membutuhkan cara belajar yang lebih efektif,teknik belajar
saya tidak sepenuhnya paham materi yang diajarkan,teknik belajar
saya tidak bisa fokus karena banyak gangguan,teknik belajar
saya merasa tertinggal pelajaran,teknik belajar
saya merasa kesulitan saat harus belajar dengan banyak gangguan,teknik belajar
saya merasa tidak ada yang mendukung saya,motivasi belajar
saya memiliki banyak tugas,manajemen waktu
saya butuh bacaan untuk belajar,sumber belajar
saya bingung dengan banyaknya materi yang diajarkan,teknik belajar
saya ingin meningkatkan nilai,teknik belajar
saya merasa materi pelajaran saya kurang lengkap,sumber belajar
saya kurang paham materinya,teknik belajar
saya ingin belajar dari internet,sumber belajar
saya ingin meningkatkan motivasi belajar,motivasi belajar
saya tidak bisa mengikuti pelajaran dengan baik,teknik belajar
saya ingin mencari sumber belajar lain,sumber belajar
saya rasa belajar membosankan,motivasi belajar
saya tidak bersemangat mengerjakan tugas,motivasi belajar
saya jarang mengerjakan tugas,motivasi belajar
saya kesulitan membagi waktu antara belajar dan kegiatan lainnya,manajemen waktu
saya butuh pelajaran selain dari kelas,sumber belajar
saya masih malas belajar,motivasi belajar
saya tidak suka belajar,motivasi belajar
saya belum memahami materi yang sulit,teknik belajar
saya merasa waktu untuk belajar selalu terbatas,manajemen waktu
saya tidak tahu di mana mencari sumber belajar,sumber belajar
saya memiliki banyak pekerjaan yang harus dikerjakan,manajemen waktu
saya tidak tertarik dengan materi yang diajarkan,motivasi belajar
saya merasa putus asa dengan belajar,motivasi belajar
saya tidak semangat mengerjakan tugas,motivasi belajar
saya merasa kesulitan mengatur waktu untuk mengerjakan tugas,manajemen waktu
saya ingin belajar dari sumber lain,sumber belajar
saya tidak tahu bagaimana cara meningkatkan semangat belajar,motivasi belajar
saya malas untuk hadir di kelas,motivasi belajar
saya jarang menyelesaikan tugas yang diberikan,motivasi belajar
saya merasa putus asa,motivasi belajar
saya butuh metode belajar yang bagus,teknik belajar
saya rasa materi pelajaran saya kurang lengkap,sumber belajar
saya ingin lebih rajin belajar,motivasi belajar
saya masih belum memahami materi yang susah,teknik belajar
saya tidak mengerti mata pelajaran,teknik belajar
say merasa malas kuliah,motivasi belajar
saya bingung dengan semua materi yang diajarkan,teknik belajar
saya tidak mau belajar,motivasi belajar
saya butuh sumber untuk belajar,sumber belajar
saya tidak paham dengan pelajaran ini,teknik belajar
saya tidak senang belajar,motivasi belajar
saya ingin meningkatkan semangat dalam belajar,motivasi belajar
saya merasa waktu yang tersedia untuk belajar selalu kurang,manajemen waktu
saya membutuhkan saran tentang teknik belajar,teknik belajar
saya merasa kesulitan mengatur waktu belajar,manajemen waktu
saya butuh tips teknik belajar,teknik belajar
saya sibuk mengikuti kuliah dan kerja,manajemen waktu
saya butuh sumber materi lain selain di kelas,sumber belajar
saya butuh tips untuk mengatur waktu agar lebih produktif,manajemen waktu
saya tidak tahu cara meningkatkan semangat belajar,motivasi belajar
saya malas datang ke kelas,motivasi belajar
saya sering kehilangan fokus saat belajar,teknik belajar
saya jarang masuk kelas kuliah,motivasi belajar
saya merasa kesulitan dalam mengelola waktu,manajemen waktu
saya kesulitan untuk fokus karena gangguan banyak,teknik belajar
saya membutuhkan pelajaran tambahan selain di kelas,sumber belajar
saya merasa susah untuk memahami pelajaran yang diajarkan di kelas,teknik belajar
saya merasa kebingungan saat mempelajari materi baru,teknik belajar
saya ingin menyusun jadwal agar tidak terlalu penuh,manajemen waktu
saya tidak bisa berkonsentrasi saat pelajaran berlangsung,teknik belajar
saya merasa terganggu saat belajar di tengah banyak gangguan,teknik belajar
saya merasa ketinggalan dalam pelajaran yang diberikan,teknik belajar
saya merasa semua kegiatan terlalu banyak,manajemen waktu
saya jarang hadir di kelas,motivasi belajar
saya butuh sumber,sumber belajar
saya merasa terlalu banyak kegiatan yang harus saya lakukan,manajemen waktu
saya memerlukan sumber untuk belajar,sumber belajar
saya tidak tahu teknik yang tepat untuk belajar,teknik belajar
saya sulit mengikuti pelajaran dengan lancar,teknik belajar
saya merasa belajar itu membosankan,motivasi belajar
saya membutuhkan materi bacaan yang relevan,sumber belajar
saya membutuhkan cara untuk mengatur waktu supaya lebih produktif,manajemen waktu
saya ingin meningkatkan nilai pelajaran saya,teknik belajar
saya tidak tertarik materi kuliah,motivasi belajar
saya membutuhkan sumber belajar,sumber belajar
saya tidak tahu tempat sumber belajar,sumber belajar
saya memerlukan metode belajar yang lebih baik,teknik belajar
saya ingin belajar melalui internet,sumber belajar
saya merasa kesulitan untuk memahami pelajaran yang diajarkan,teknik belajar
saya kesulitan mengatur waktu untuk menyelesaikan tugas yang ada,manajemen waktu
saya sulit mengatur waktu belajar,manajemen waktu
saya membutuhkan bacaan untuk mendalami materi,sumber belajar
saya memiliki jadwal kuliah padat,manajemen waktu
saya sering merasa malas saat belajar,motivasi belajar
saya sangat sibuk dengan kuliah dan pekerjaan,manajemen waktu
saya bingung mulai belajar materi dari mana,sumber belajar
saya merasa tidak ada yang mendukung saya dalam belajar,motivasi belajar
saya butuh materi bacaan,sumber belajar
saya butuh sumber materi pendukung selain dari kelas,sumber belajar
saya kesulitan membagi waktu antara belajar dan kegiatan lain,manajemen waktu
saya tidak ingin belajar,motivasi belajar
saya membutuhkan aplikasi yang mendukung pelajaran,sumber belajar
saya butuh aplikasi yang membantu pelajaran,sumber belajar
saya kebingungan dalam belajar materi baru,teknik belajar
saya merasa malas kuliah,motivasi belajar
saya bingung belajar materi dari mana,sumber belajar
saya sering malas kalau belajar,motivasi belajar
saya kesulitan manajemen waktu,manajemen waktu
